instance_m6_n10_001, GMS: 102, LB: 90, CP: Optimal, 102, 0.04 seconds, SA: 102, 0.44 seconds, CP_SA_gap: 0
instance_m6_n10_002, GMS: 128, LB: 109, CP: Optimal, 128, 0.05 seconds, SA: 128, 0.45 seconds, CP_SA_gap: 0
instance_m6_n10_003, GMS: 108, LB: 94, CP: Optimal, 108, 0.03 seconds, SA: 108, 0.44 seconds, CP_SA_gap: 0
instance_m6_n10_004, GMS: 89, LB: 77, CP: Optimal, 89, 0.00 seconds, SA: 89, 0.44 seconds, CP_SA_gap: 0
instance_m6_n10_005, GMS: 82, LB: 74, CP: Optimal, 82, 0.14 seconds, SA: 82, 0.42 seconds, CP_SA_gap: 0
instance_m6_n10_006, GMS: 56, LB: 46, CP: Optimal, 56, 0.00 seconds, SA: 56, 0.36 seconds, CP_SA_gap: 0
instance_m6_n10_007, GMS: 80, LB: 71, CP: Optimal, 80, 0.00 seconds, SA: 80, 0.45 seconds, CP_SA_gap: 0
instance_m6_n10_008, GMS: 92, LB: 75, CP: Optimal, 92, 0.00 seconds, SA: 92, 0.54 seconds, CP_SA_gap: 0
instance_m6_n10_009, GMS: 101, LB: 83, CP: Optimal, 101, 0.04 seconds, SA: 101, 0.41 seconds, CP_SA_gap: 0
instance_m6_n10_010, GMS: 91, LB: 83, CP: Optimal, 91, 0.06 seconds, SA: 91, 0.46 seconds, CP_SA_gap: 0
instance_m6_n10_011, GMS: 100, LB: 90, CP: Optimal, 100, 0.08 seconds, SA: 100, 0.46 seconds, CP_SA_gap: 0
instance_m6_n10_012, GMS: 99, LB: 79, CP: Optimal, 99, 0.00 seconds, SA: 99, 0.48 seconds, CP_SA_gap: 0
instance_m6_n10_013, GMS: 119, LB: 99, CP: Optimal, 119, 0.04 seconds, SA: 119, 0.48 seconds, CP_SA_gap: 0
instance_m6_n10_014, GMS: 82, LB: 75, CP: Optimal, 82, 0.00 seconds, SA: 82, 0.45 seconds, CP_SA_gap: 0
instance_m6_n10_015, GMS: 87, LB: 64, CP: Optimal, 87, 0.00 seconds, SA: 87, 0.47 seconds, CP_SA_gap: 0
instance_m6_n10_016, GMS: 78, LB: 68, CP: Optimal, 78, 0.00 seconds, SA: 78, 0.42 seconds, CP_SA_gap: 0
instance_m6_n10_017, GMS: 99, LB: 91, CP: Optimal, 99, 0.00 seconds, SA: 99, 0.48 seconds, CP_SA_gap: 0
instance_m6_n10_018, GMS: 115, LB: 90, CP: Optimal, 115, 0.03 seconds, SA: 115, 0.48 seconds, CP_SA_gap: 0
instance_m6_n10_019, GMS: 81, LB: 79, CP: Optimal, 81, 0.00 seconds, SA: 81, 0.46 seconds, CP_SA_gap: 0
instance_m6_n10_020, GMS: 103, LB: 91, CP: Optimal, 103, 0.06 seconds, SA: 103, 0.44 seconds, CP_SA_gap: 0
