instance_m2_n40_001, GMS: 1103, LB: 1103, CP: Optimal, 1103, 0.00 seconds, SA: 1103, 0.73 seconds, CP_SA_gap: 0
instance_m2_n40_002, GMS: 794, LB: 794, CP: Optimal, 794, 0.00 seconds, SA: 794, 0.74 seconds, CP_SA_gap: 0
instance_m2_n40_003, GMS: 1000, LB: 999, CP: Optimal, 999, 0.00 seconds, SA: 999, 0.76 seconds, CP_SA_gap: 0
instance_m2_n40_004, GMS: 911, LB: 911, CP: Optimal, 911, 0.00 seconds, SA: 911, 0.78 seconds, CP_SA_gap: 0
instance_m2_n40_005, GMS: 1047, LB: 1047, CP: Optimal, 1047, 0.00 seconds, SA: 1047, 0.79 seconds, CP_SA_gap: 0
instance_m2_n40_006, GMS: 1005, LB: 1004, CP: Optimal, 1004, 0.00 seconds, SA: 1004, 0.76 seconds, CP_SA_gap: 0
instance_m2_n40_007, GMS: 876, LB: 876, CP: Optimal, 876, 0.00 seconds, SA: 876, 0.79 seconds, CP_SA_gap: 0
instance_m2_n40_008, GMS: 1008, LB: 1008, CP: Optimal, 1008, 0.00 seconds, SA: 1008, 0.77 seconds, CP_SA_gap: 0
instance_m2_n40_009, GMS: 1175, LB: 1172, CP: Optimal, 1172, 0.00 seconds, SA: 1172, 0.76 seconds, CP_SA_gap: 0
instance_m2_n40_010, GMS: 902, LB: 901, CP: Optimal, 901, 0.00 seconds, SA: 901, 0.75 seconds, CP_SA_gap: 0
instance_m2_n40_011, GMS: 1032, LB: 1032, CP: Optimal, 1032, 0.00 seconds, SA: 1032, 0.77 seconds, CP_SA_gap: 0
instance_m2_n40_012, GMS: 930, LB: 929, CP: Optimal, 929, 0.00 seconds, SA: 929, 0.76 seconds, CP_SA_gap: 0
instance_m2_n40_013, GMS: 1009, LB: 1009, CP: Optimal, 1009, 0.00 seconds, SA: 1009, 0.81 seconds, CP_SA_gap: 0
instance_m2_n40_014, GMS: 1179, LB: 1179, CP: Optimal, 1179, 0.00 seconds, SA: 1179, 0.79 seconds, CP_SA_gap: 0
instance_m2_n40_015, GMS: 1090, LB: 1089, CP: Optimal, 1089, 0.00 seconds, SA: 1089, 0.79 seconds, CP_SA_gap: 0
instance_m2_n40_016, GMS: 1164, LB: 1162, CP: Optimal, 1162, 0.00 seconds, SA: 1162, 0.77 seconds, CP_SA_gap: 0
instance_m2_n40_017, GMS: 980, LB: 979, CP: Optimal, 979, 0.00 seconds, SA: 979, 0.71 seconds, CP_SA_gap: 0
instance_m2_n40_018, GMS: 989, LB: 989, CP: Optimal, 989, 0.00 seconds, SA: 989, 0.75 seconds, CP_SA_gap: 0
instance_m2_n40_019, GMS: 991, LB: 991, CP: Optimal, 991, 0.00 seconds, SA: 991, 0.72 seconds, CP_SA_gap: 0
instance_m2_n40_020, GMS: 888, LB: 888, CP: Optimal, 888, 0.00 seconds, SA: 888, 0.76 seconds, CP_SA_gap: 0
