instance_m2_n90_001, GMS: 2145, LB: 2145, CP: Optimal, 2145, 0.00 seconds, SA: 2145, 1.31 seconds, CP_SA_gap: 0
instance_m2_n90_002, GMS: 2199, LB: 2199, CP: Optimal, 2199, 0.00 seconds, SA: 2199, 1.35 seconds, CP_SA_gap: 0
instance_m2_n90_003, GMS: 2173, LB: 2173, CP: Optimal, 2173, 0.00 seconds, SA: 2173, 1.33 seconds, CP_SA_gap: 0
instance_m2_n90_004, GMS: 2395, LB: 2395, CP: Optimal, 2395, 0.00 seconds, SA: 2395, 1.31 seconds, CP_SA_gap: 0
instance_m2_n90_005, GMS: 2136, LB: 2135, CP: Optimal, 2135, 0.00 seconds, SA: 2135, 1.37 seconds, CP_SA_gap: 0
instance_m2_n90_006, GMS: 2266, LB: 2266, CP: Optimal, 2266, 0.00 seconds, SA: 2266, 1.35 seconds, CP_SA_gap: 0
instance_m2_n90_007, GMS: 2616, LB: 2614, CP: Optimal, 2614, 0.00 seconds, SA: 2614, 1.38 seconds, CP_SA_gap: 0
instance_m2_n90_008, GMS: 2253, LB: 2252, CP: Optimal, 2252, 0.00 seconds, SA: 2252, 1.32 seconds, CP_SA_gap: 0
instance_m2_n90_009, GMS: 2034, LB: 2034, CP: Optimal, 2034, 0.00 seconds, SA: 2034, 1.31 seconds, CP_SA_gap: 0
instance_m2_n90_010, GMS: 2196, LB: 2195, CP: Optimal, 2195, 0.00 seconds, SA: 2195, 1.32 seconds, CP_SA_gap: 0
instance_m2_n90_011, GMS: 2284, LB: 2284, CP: Optimal, 2284, 0.00 seconds, SA: 2284, 1.35 seconds, CP_SA_gap: 0
instance_m2_n90_012, GMS: 2196, LB: 2196, CP: Optimal, 2196, 0.00 seconds, SA: 2196, 1.47 seconds, CP_SA_gap: 0
instance_m2_n90_013, GMS: 2200, LB: 2200, CP: Optimal, 2200, 0.00 seconds, SA: 2200, 1.47 seconds, CP_SA_gap: 0
instance_m2_n90_014, GMS: 2268, LB: 2267, CP: Optimal, 2267, 0.01 seconds, SA: 2267, 1.36 seconds, CP_SA_gap: 0
instance_m2_n90_015, GMS: 2166, LB: 2166, CP: Optimal, 2166, 0.00 seconds, SA: 2166, 1.36 seconds, CP_SA_gap: 0
instance_m2_n90_016, GMS: 2087, LB: 2087, CP: Optimal, 2087, 0.00 seconds, SA: 2087, 1.44 seconds, CP_SA_gap: 0
instance_m2_n90_017, GMS: 2487, LB: 2487, CP: Optimal, 2487, 0.00 seconds, SA: 2487, 1.34 seconds, CP_SA_gap: 0
instance_m2_n90_018, GMS: 2294, LB: 2294, CP: Optimal, 2294, 0.00 seconds, SA: 2294, 1.33 seconds, CP_SA_gap: 0
instance_m2_n90_019, GMS: 2303, LB: 2303, CP: Optimal, 2303, 0.00 seconds, SA: 2303, 1.35 seconds, CP_SA_gap: 0
instance_m2_n90_020, GMS: 2391, LB: 2391, CP: Optimal, 2391, 0.00 seconds, SA: 2391, 1.29 seconds, CP_SA_gap: 0
