instance_m2_n70_001, GMS: 1674, LB: 1674, CP: Optimal, 1674, 0.00 seconds, SA: 1674, 1.04 seconds, CP_SA_gap: 0
instance_m2_n70_002, GMS: 1741, LB: 1741, CP: Optimal, 1741, 0.00 seconds, SA: 1741, 1.10 seconds, CP_SA_gap: 0
instance_m2_n70_003, GMS: 1682, LB: 1682, CP: Optimal, 1682, 0.00 seconds, SA: 1682, 1.10 seconds, CP_SA_gap: 0
instance_m2_n70_004, GMS: 1636, LB: 1636, CP: Optimal, 1636, 0.00 seconds, SA: 1636, 1.12 seconds, CP_SA_gap: 0
instance_m2_n70_005, GMS: 1909, LB: 1909, CP: Optimal, 1909, 0.00 seconds, SA: 1909, 1.09 seconds, CP_SA_gap: 0
instance_m2_n70_006, GMS: 1694, LB: 1692, CP: Optimal, 1692, 0.00 seconds, SA: 1692, 1.15 seconds, CP_SA_gap: 0
instance_m2_n70_007, GMS: 1715, LB: 1714, CP: Optimal, 1714, 0.00 seconds, SA: 1714, 1.16 seconds, CP_SA_gap: 0
instance_m2_n70_008, GMS: 1913, LB: 1913, CP: Optimal, 1913, 0.00 seconds, SA: 1913, 1.12 seconds, CP_SA_gap: 0
instance_m2_n70_009, GMS: 1967, LB: 1966, CP: Optimal, 1966, 0.00 seconds, SA: 1966, 1.11 seconds, CP_SA_gap: 0
instance_m2_n70_010, GMS: 1789, LB: 1788, CP: Optimal, 1788, 0.00 seconds, SA: 1788, 1.09 seconds, CP_SA_gap: 0
instance_m2_n70_011, GMS: 1711, LB: 1711, CP: Optimal, 1711, 0.00 seconds, SA: 1711, 1.10 seconds, CP_SA_gap: 0
instance_m2_n70_012, GMS: 1519, LB: 1519, CP: Optimal, 1519, 0.00 seconds, SA: 1519, 1.11 seconds, CP_SA_gap: 0
instance_m2_n70_013, GMS: 1688, LB: 1687, CP: Optimal, 1687, 0.00 seconds, SA: 1687, 1.13 seconds, CP_SA_gap: 0
instance_m2_n70_014, GMS: 1837, LB: 1837, CP: Optimal, 1837, 0.00 seconds, SA: 1837, 1.09 seconds, CP_SA_gap: 0
instance_m2_n70_015, GMS: 1686, LB: 1686, CP: Optimal, 1686, 0.00 seconds, SA: 1686, 1.11 seconds, CP_SA_gap: 0
instance_m2_n70_016, GMS: 1755, LB: 1755, CP: Optimal, 1755, 0.00 seconds, SA: 1755, 1.29 seconds, CP_SA_gap: 0
instance_m2_n70_017, GMS: 1789, LB: 1787, CP: Optimal, 1787, 0.00 seconds, SA: 1787, 1.23 seconds, CP_SA_gap: 0
instance_m2_n70_018, GMS: 1661, LB: 1660, CP: Optimal, 1660, 0.00 seconds, SA: 1660, 1.14 seconds, CP_SA_gap: 0
instance_m2_n70_019, GMS: 1765, LB: 1765, CP: Optimal, 1765, 0.00 seconds, SA: 1765, 1.15 seconds, CP_SA_gap: 0
instance_m2_n70_020, GMS: 1514, LB: 1513, CP: Optimal, 1513, 0.00 seconds, SA: 1513, 1.38 seconds, CP_SA_gap: 0
