instance_m8_n10_001, GMS: 88, LB: 67, CP: Optimal, 88, 0.00 seconds, SA: 88, 0.48 seconds, CP_SA_gap: 0
instance_m8_n10_002, GMS: 89, LB: 82, CP: Optimal, 89, 0.00 seconds, SA: 89, 0.49 seconds, CP_SA_gap: 0
instance_m8_n10_003, GMS: 82, LB: 70, CP: Optimal, 82, 0.00 seconds, SA: 82, 0.50 seconds, CP_SA_gap: 0
instance_m8_n10_004, GMS: 89, LB: 58, CP: Optimal, 89, 0.00 seconds, SA: 89, 0.47 seconds, CP_SA_gap: 0
instance_m8_n10_005, GMS: 76, LB: 56, CP: Optimal, 76, 0.00 seconds, SA: 76, 0.44 seconds, CP_SA_gap: 0
instance_m8_n10_006, GMS: 56, LB: 35, CP: Optimal, 56, 0.00 seconds, SA: 56, 0.42 seconds, CP_SA_gap: 0
instance_m8_n10_007, GMS: 80, LB: 53, CP: Optimal, 80, 0.00 seconds, SA: 80, 0.47 seconds, CP_SA_gap: 0
instance_m8_n10_008, GMS: 92, LB: 56, CP: Optimal, 92, 0.00 seconds, SA: 92, 0.61 seconds, CP_SA_gap: 0
instance_m8_n10_009, GMS: 79, LB: 63, CP: Optimal, 79, 0.01 seconds, SA: 79, 0.56 seconds, CP_SA_gap: 0
instance_m8_n10_010, GMS: 86, LB: 62, CP: Optimal, 86, 0.00 seconds, SA: 86, 0.55 seconds, CP_SA_gap: 0
instance_m8_n10_011, GMS: 96, LB: 67, CP: Optimal, 96, 0.00 seconds, SA: 96, 0.49 seconds, CP_SA_gap: 0
instance_m8_n10_012, GMS: 99, LB: 59, CP: Optimal, 99, 0.00 seconds, SA: 99, 0.53 seconds, CP_SA_gap: 0
instance_m8_n10_013, GMS: 99, LB: 74, CP: Optimal, 99, 0.00 seconds, SA: 99, 0.62 seconds, CP_SA_gap: 0
instance_m8_n10_014, GMS: 82, LB: 56, CP: Optimal, 82, 0.01 seconds, SA: 82, 0.49 seconds, CP_SA_gap: 0
instance_m8_n10_015, GMS: 87, LB: 48, CP: Optimal, 87, 0.00 seconds, SA: 87, 0.47 seconds, CP_SA_gap: 0
instance_m8_n10_016, GMS: 78, LB: 51, CP: Optimal, 78, 0.01 seconds, SA: 78, 0.61 seconds, CP_SA_gap: 0
instance_m8_n10_017, GMS: 99, LB: 68, CP: Optimal, 99, 0.00 seconds, SA: 99, 0.52 seconds, CP_SA_gap: 0
instance_m8_n10_018, GMS: 97, LB: 67, CP: Optimal, 97, 0.01 seconds, SA: 97, 0.55 seconds, CP_SA_gap: 0
instance_m8_n10_019, GMS: 81, LB: 60, CP: Optimal, 81, 0.00 seconds, SA: 81, 0.53 seconds, CP_SA_gap: 0
instance_m8_n10_020, GMS: 86, LB: 69, CP: Optimal, 86, 0.00 seconds, SA: 86, 0.48 seconds, CP_SA_gap: 0
