instance_m2_n30_001, GMS: 875, LB: 873, CP: Optimal, 873, 0.00 seconds, SA: 873, 0.60 seconds, CP_SA_gap: 0
instance_m2_n30_002, GMS: 590, LB: 590, CP: Optimal, 590, 0.00 seconds, SA: 590, 0.59 seconds, CP_SA_gap: 0
instance_m2_n30_003, GMS: 683, LB: 683, CP: Optimal, 683, 0.00 seconds, SA: 683, 0.61 seconds, CP_SA_gap: 0
instance_m2_n30_004, GMS: 750, LB: 750, CP: Optimal, 750, 0.00 seconds, SA: 750, 0.65 seconds, CP_SA_gap: 0
instance_m2_n30_005, GMS: 710, LB: 709, CP: Optimal, 709, 0.00 seconds, SA: 709, 0.65 seconds, CP_SA_gap: 0
instance_m2_n30_006, GMS: 741, LB: 740, CP: Optimal, 740, 0.00 seconds, SA: 740, 0.65 seconds, CP_SA_gap: 0
instance_m2_n30_007, GMS: 753, LB: 753, CP: Optimal, 753, 0.00 seconds, SA: 753, 0.63 seconds, CP_SA_gap: 0
instance_m2_n30_008, GMS: 761, LB: 761, CP: Optimal, 761, 0.00 seconds, SA: 761, 0.64 seconds, CP_SA_gap: 0
instance_m2_n30_009, GMS: 660, LB: 660, CP: Optimal, 660, 0.00 seconds, SA: 660, 0.64 seconds, CP_SA_gap: 0
instance_m2_n30_010, GMS: 674, LB: 674, CP: Optimal, 674, 0.00 seconds, SA: 674, 0.66 seconds, CP_SA_gap: 0
instance_m2_n30_011, GMS: 885, LB: 883, CP: Optimal, 883, 0.00 seconds, SA: 883, 0.63 seconds, CP_SA_gap: 0
instance_m2_n30_012, GMS: 842, LB: 839, CP: Optimal, 839, 0.00 seconds, SA: 839, 0.64 seconds, CP_SA_gap: 0
instance_m2_n30_013, GMS: 695, LB: 693, CP: Optimal, 693, 0.00 seconds, SA: 693, 0.62 seconds, CP_SA_gap: 0
instance_m2_n30_014, GMS: 731, LB: 729, CP: Optimal, 729, 0.00 seconds, SA: 729, 0.63 seconds, CP_SA_gap: 0
instance_m2_n30_015, GMS: 714, LB: 713, CP: Optimal, 713, 0.00 seconds, SA: 713, 0.64 seconds, CP_SA_gap: 0
instance_m2_n30_016, GMS: 728, LB: 727, CP: Optimal, 727, 0.00 seconds, SA: 727, 0.61 seconds, CP_SA_gap: 0
instance_m2_n30_017, GMS: 718, LB: 718, CP: Optimal, 718, 0.00 seconds, SA: 718, 0.65 seconds, CP_SA_gap: 0
instance_m2_n30_018, GMS: 821, LB: 821, CP: Optimal, 821, 0.00 seconds, SA: 821, 0.65 seconds, CP_SA_gap: 0
instance_m2_n30_019, GMS: 912, LB: 908, CP: Optimal, 908, 0.00 seconds, SA: 908, 0.66 seconds, CP_SA_gap: 0
instance_m2_n30_020, GMS: 830, LB: 830, CP: Optimal, 830, 0.00 seconds, SA: 830, 0.66 seconds, CP_SA_gap: 0
