instance_m2_n80_001, GMS: 1896, LB: 1896, CP: Optimal, 1896, 0.00 seconds, SA: 1896, 1.14 seconds, CP_SA_gap: 0
instance_m2_n80_002, GMS: 1910, LB: 1910, CP: Optimal, 1910, 0.00 seconds, SA: 1910, 1.25 seconds, CP_SA_gap: 0
instance_m2_n80_003, GMS: 2052, LB: 2051, CP: Optimal, 2051, 0.00 seconds, SA: 2051, 1.24 seconds, CP_SA_gap: 0
instance_m2_n80_004, GMS: 1883, LB: 1883, CP: Optimal, 1883, 0.00 seconds, SA: 1883, 1.31 seconds, CP_SA_gap: 0
instance_m2_n80_005, GMS: 2072, LB: 2072, CP: Optimal, 2072, 0.00 seconds, SA: 2072, 1.27 seconds, CP_SA_gap: 0
instance_m2_n80_006, GMS: 1961, LB: 1961, CP: Optimal, 1961, 0.00 seconds, SA: 1961, 1.32 seconds, CP_SA_gap: 0
instance_m2_n80_007, GMS: 2188, LB: 2188, CP: Optimal, 2188, 0.00 seconds, SA: 2188, 1.24 seconds, CP_SA_gap: 0
instance_m2_n80_008, GMS: 2252, LB: 2251, CP: Optimal, 2251, 0.00 seconds, SA: 2251, 1.33 seconds, CP_SA_gap: 0
instance_m2_n80_009, GMS: 1968, LB: 1967, CP: Optimal, 1967, 0.00 seconds, SA: 1967, 1.22 seconds, CP_SA_gap: 0
instance_m2_n80_010, GMS: 1878, LB: 1878, CP: Optimal, 1878, 0.00 seconds, SA: 1878, 1.24 seconds, CP_SA_gap: 0
instance_m2_n80_011, GMS: 1836, LB: 1836, CP: Optimal, 1836, 0.00 seconds, SA: 1836, 1.24 seconds, CP_SA_gap: 0
instance_m2_n80_012, GMS: 2059, LB: 2058, CP: Optimal, 2058, 0.00 seconds, SA: 2058, 1.23 seconds, CP_SA_gap: 0
instance_m2_n80_013, GMS: 1883, LB: 1883, CP: Optimal, 1883, 0.00 seconds, SA: 1883, 1.26 seconds, CP_SA_gap: 0
instance_m2_n80_014, GMS: 2075, LB: 2075, CP: Optimal, 2075, 0.00 seconds, SA: 2075, 1.31 seconds, CP_SA_gap: 0
instance_m2_n80_015, GMS: 2067, LB: 2067, CP: Optimal, 2067, 0.00 seconds, SA: 2067, 1.23 seconds, CP_SA_gap: 0
instance_m2_n80_016, GMS: 1925, LB: 1924, CP: Optimal, 1924, 0.00 seconds, SA: 1924, 1.24 seconds, CP_SA_gap: 0
instance_m2_n80_017, GMS: 1856, LB: 1856, CP: Optimal, 1856, 0.00 seconds, SA: 1856, 1.27 seconds, CP_SA_gap: 0
instance_m2_n80_018, GMS: 1853, LB: 1853, CP: Optimal, 1853, 0.00 seconds, SA: 1853, 1.24 seconds, CP_SA_gap: 0
instance_m2_n80_019, GMS: 2240, LB: 2239, CP: Optimal, 2239, 0.00 seconds, SA: 2239, 1.23 seconds, CP_SA_gap: 0
instance_m2_n80_020, GMS: 2045, LB: 2045, CP: Optimal, 2045, 0.00 seconds, SA: 2045, 1.24 seconds, CP_SA_gap: 0
