instance_m10_n10_001, GMS: 88, LB: 54, CP: Optimal, 88, 0.00 seconds, SA: 88, 0.58 seconds, CP_SA_gap: 0
instance_m10_n10_002, GMS: 89, LB: 66, CP: Optimal, 89, 0.02 seconds, SA: 89, 0.53 seconds, CP_SA_gap: 0
instance_m10_n10_003, GMS: 82, LB: 56, CP: Optimal, 82, 0.00 seconds, SA: 82, 0.82 seconds, CP_SA_gap: 0
instance_m10_n10_004, GMS: 89, LB: 46, CP: Optimal, 89, 0.01 seconds, SA: 89, 0.49 seconds, CP_SA_gap: 0
instance_m10_n10_005, GMS: 76, LB: 45, CP: Optimal, 76, 0.01 seconds, SA: 76, 0.61 seconds, CP_SA_gap: 0
instance_m10_n10_006, GMS: 56, LB: 28, CP: Optimal, 56, 0.00 seconds, SA: 56, 0.78 seconds, CP_SA_gap: 0
instance_m10_n10_007, GMS: 80, LB: 43, CP: Optimal, 80, 0.01 seconds, SA: 80, 1.02 seconds, CP_SA_gap: 0
instance_m10_n10_008, GMS: 92, LB: 45, CP: Optimal, 92, 0.00 seconds, SA: 92, 0.57 seconds, CP_SA_gap: 0
instance_m10_n10_009, GMS: 79, LB: 50, CP: Optimal, 79, 0.00 seconds, SA: 79, 0.92 seconds, CP_SA_gap: 0
instance_m10_n10_010, GMS: 86, LB: 50, CP: Optimal, 86, 0.00 seconds, SA: 86, 0.93 seconds, CP_SA_gap: 0
instance_m10_n10_011, GMS: 96, LB: 54, CP: Optimal, 96, 0.01 seconds, SA: 96, 0.98 seconds, CP_SA_gap: 0
instance_m10_n10_012, GMS: 99, LB: 48, CP: Optimal, 99, 0.00 seconds, SA: 99, 0.50 seconds, CP_SA_gap: 0
instance_m10_n10_013, GMS: 99, LB: 59, CP: Optimal, 99, 0.00 seconds, SA: 99, 0.70 seconds, CP_SA_gap: 0
instance_m10_n10_014, GMS: 82, LB: 45, CP: Optimal, 82, 0.01 seconds, SA: 82, 0.53 seconds, CP_SA_gap: 0
instance_m10_n10_015, GMS: 87, LB: 38, CP: Optimal, 87, 0.00 seconds, SA: 87, 0.49 seconds, CP_SA_gap: 0
instance_m10_n10_016, GMS: 78, LB: 41, CP: Optimal, 78, 0.00 seconds, SA: 78, 0.49 seconds, CP_SA_gap: 0
instance_m10_n10_017, GMS: 99, LB: 55, CP: Optimal, 99, 0.01 seconds, SA: 99, 0.54 seconds, CP_SA_gap: 0
instance_m10_n10_018, GMS: 97, LB: 54, CP: Optimal, 97, 0.01 seconds, SA: 97, 0.50 seconds, CP_SA_gap: 0
instance_m10_n10_019, GMS: 81, LB: 48, CP: Optimal, 81, 0.00 seconds, SA: 81, 0.47 seconds, CP_SA_gap: 0
instance_m10_n10_020, GMS: 86, LB: 55, CP: Optimal, 86, 0.00 seconds, SA: 86, 0.47 seconds, CP_SA_gap: 0
