instance_m8_n30_001, GMS: 224, LB: 219, CP: Optimal, 219, 80.21 seconds, SA: 222, 0.72 seconds, CP_SA_gap: .0136
instance_m8_n30_002, GMS: 156, LB: 148, CP: Optimal, 148, 8.64 seconds, SA: 150, 0.65 seconds, CP_SA_gap: .0135
instance_m8_n30_003, GMS: 178, LB: 171, CP: Optimal, 171, 185.27 seconds, SA: 176, 0.67 seconds, CP_SA_gap: .0292
instance_m8_n30_004, GMS: 191, LB: 188, CP: Optimal, 188, 7.59 seconds, SA: 191, 0.69 seconds, CP_SA_gap: .0159
instance_m8_n30_005, GMS: 182, LB: 178, CP: Optimal, 178, 0.52 seconds, SA: 181, 0.71 seconds, CP_SA_gap: .0168
instance_m8_n30_006, GMS: 189, LB: 185, CP: Optimal, 185, 5.37 seconds, SA: 189, 0.69 seconds, CP_SA_gap: .0216
instance_m8_n30_007, GMS: 197, LB: 189, CP: Optimal, 189, 0.30 seconds, SA: 191, 0.72 seconds, CP_SA_gap: .0105
instance_m8_n30_008, GMS: 203, LB: 191, CP: Optimal, 191, 0.67 seconds, SA: 194, 0.69 seconds, CP_SA_gap: .0157
instance_m8_n30_009, GMS: 173, LB: 165, CP: Optimal, 165, 48.20 seconds, SA: 168, 0.69 seconds, CP_SA_gap: .0181
instance_m8_n30_010, GMS: 175, LB: 169, CP: Optimal, 169, 0.47 seconds, SA: 172, 0.67 seconds, CP_SA_gap: .0177
instance_m8_n30_011, GMS: 228, LB: 221, CP: Optimal, 221, 161.23 seconds, SA: 225, 0.69 seconds, CP_SA_gap: .0180
instance_m8_n30_012, GMS: 212, LB: 210, CP: Optimal, 210, 11.59 seconds, SA: 212, 0.71 seconds, CP_SA_gap: .0095
instance_m8_n30_013, GMS: 180, LB: 174, CP: Optimal, 174, 0.01 seconds, SA: 177, 0.70 seconds, CP_SA_gap: .0172
instance_m8_n30_014, GMS: 192, LB: 183, CP: Optimal, 183, 3.78 seconds, SA: 186, 0.68 seconds, CP_SA_gap: .0163
instance_m8_n30_015, GMS: 186, LB: 179, CP: Optimal, 179, 0.12 seconds, SA: 185, 0.75 seconds, CP_SA_gap: .0335
instance_m8_n30_016, GMS: 185, LB: 182, CP: Optimal, 182, 0.90 seconds, SA: 185, 0.69 seconds, CP_SA_gap: .0164
instance_m8_n30_017, GMS: 184, LB: 180, CP: Optimal, 180, 0.09 seconds, SA: 184, 0.68 seconds, CP_SA_gap: .0222
instance_m8_n30_018, GMS: 215, LB: 206, CP: Optimal, 206, 74.10 seconds, SA: 210, 0.68 seconds, CP_SA_gap: .0194
instance_m8_n30_019, GMS: 240, LB: 227, CP: Optimal, 227, 56.33 seconds, SA: 234, 0.70 seconds, CP_SA_gap: .0308
instance_m8_n30_020, GMS: 215, LB: 208, CP: Optimal, 208, 4.60 seconds, SA: 211, 0.68 seconds, CP_SA_gap: .0144
