instance_m2_n20_001, GMS: 598, LB: 593, CP: Optimal, 593, 0.00 seconds, SA: 593, 0.50 seconds, CP_SA_gap: 0
instance_m2_n20_002, GMS: 510, LB: 510, CP: Optimal, 510, 0.00 seconds, SA: 510, 0.51 seconds, CP_SA_gap: 0
instance_m2_n20_003, GMS: 360, LB: 360, CP: Optimal, 360, 0.00 seconds, SA: 360, 0.47 seconds, CP_SA_gap: 0
instance_m2_n20_004, GMS: 436, LB: 434, CP: Optimal, 434, 0.00 seconds, SA: 434, 0.50 seconds, CP_SA_gap: 0
instance_m2_n20_005, GMS: 497, LB: 497, CP: Optimal, 497, 0.00 seconds, SA: 497, 0.53 seconds, CP_SA_gap: 0
instance_m2_n20_006, GMS: 503, LB: 503, CP: Optimal, 503, 0.00 seconds, SA: 503, 0.53 seconds, CP_SA_gap: 0
instance_m2_n20_007, GMS: 524, LB: 519, CP: Optimal, 519, 0.00 seconds, SA: 519, 0.56 seconds, CP_SA_gap: 0
instance_m2_n20_008, GMS: 392, LB: 392, CP: Optimal, 392, 0.00 seconds, SA: 392, 0.50 seconds, CP_SA_gap: 0
instance_m2_n20_009, GMS: 540, LB: 538, CP: Optimal, 538, 0.00 seconds, SA: 538, 0.54 seconds, CP_SA_gap: 0
instance_m2_n20_010, GMS: 514, LB: 509, CP: Optimal, 509, 0.00 seconds, SA: 509, 0.49 seconds, CP_SA_gap: 0
instance_m2_n20_011, GMS: 506, LB: 506, CP: Optimal, 506, 0.00 seconds, SA: 506, 0.55 seconds, CP_SA_gap: 0
instance_m2_n20_012, GMS: 499, LB: 498, CP: Optimal, 498, 0.00 seconds, SA: 498, 0.54 seconds, CP_SA_gap: 0
instance_m2_n20_013, GMS: 362, LB: 362, CP: Optimal, 362, 0.00 seconds, SA: 362, 0.56 seconds, CP_SA_gap: 0
instance_m2_n20_014, GMS: 522, LB: 514, CP: Optimal, 514, 0.00 seconds, SA: 514, 0.62 seconds, CP_SA_gap: 0
instance_m2_n20_015, GMS: 458, LB: 458, CP: Optimal, 458, 0.00 seconds, SA: 458, 0.54 seconds, CP_SA_gap: 0
instance_m2_n20_016, GMS: 552, LB: 550, CP: Optimal, 550, 0.00 seconds, SA: 550, 0.55 seconds, CP_SA_gap: 0
instance_m2_n20_017, GMS: 594, LB: 588, CP: Optimal, 588, 0.00 seconds, SA: 588, 0.52 seconds, CP_SA_gap: 0
instance_m2_n20_018, GMS: 585, LB: 584, CP: Optimal, 584, 0.00 seconds, SA: 584, 0.60 seconds, CP_SA_gap: 0
instance_m2_n20_019, GMS: 429, LB: 427, CP: Optimal, 427, 0.00 seconds, SA: 427, 0.57 seconds, CP_SA_gap: 0
instance_m2_n20_020, GMS: 478, LB: 474, CP: Optimal, 474, 0.00 seconds, SA: 474, 0.53 seconds, CP_SA_gap: 0
