instance_m2_n100_001, GMS: 2393, LB: 2393, CP: Optimal, 2393, 0.00 seconds, SA: 2393, 1.38 seconds, CP_SA_gap: 0
instance_m2_n100_002, GMS: 2460, LB: 2460, CP: Optimal, 2460, 0.00 seconds, SA: 2460, 1.45 seconds, CP_SA_gap: 0
instance_m2_n100_003, GMS: 2337, LB: 2337, CP: Optimal, 2337, 0.00 seconds, SA: 2337, 1.46 seconds, CP_SA_gap: 0
instance_m2_n100_004, GMS: 2622, LB: 2622, CP: Optimal, 2622, 0.00 seconds, SA: 2622, 1.50 seconds, CP_SA_gap: 0
instance_m2_n100_005, GMS: 2387, LB: 2387, CP: Optimal, 2387, 0.00 seconds, SA: 2387, 1.47 seconds, CP_SA_gap: 0
instance_m2_n100_006, GMS: 2850, LB: 2850, CP: Optimal, 2850, 0.00 seconds, SA: 2850, 1.49 seconds, CP_SA_gap: 0
instance_m2_n100_007, GMS: 2666, LB: 2665, CP: Optimal, 2665, 0.00 seconds, SA: 2665, 1.43 seconds, CP_SA_gap: 0
instance_m2_n100_008, GMS: 2342, LB: 2342, CP: Optimal, 2342, 0.00 seconds, SA: 2342, 1.43 seconds, CP_SA_gap: 0
instance_m2_n100_009, GMS: 2351, LB: 2351, CP: Optimal, 2351, 0.00 seconds, SA: 2351, 1.49 seconds, CP_SA_gap: 0
instance_m2_n100_010, GMS: 2456, LB: 2456, CP: Optimal, 2456, 0.00 seconds, SA: 2456, 1.44 seconds, CP_SA_gap: 0
instance_m2_n100_011, GMS: 2468, LB: 2468, CP: Optimal, 2468, 0.00 seconds, SA: 2468, 1.50 seconds, CP_SA_gap: 0
instance_m2_n100_012, GMS: 2644, LB: 2643, CP: Optimal, 2643, 0.00 seconds, SA: 2643, 1.44 seconds, CP_SA_gap: 0
instance_m2_n100_013, GMS: 2488, LB: 2487, CP: Optimal, 2487, 0.00 seconds, SA: 2487, 1.43 seconds, CP_SA_gap: 0
instance_m2_n100_014, GMS: 2172, LB: 2172, CP: Optimal, 2172, 0.00 seconds, SA: 2172, 1.50 seconds, CP_SA_gap: 0
instance_m2_n100_015, GMS: 2705, LB: 2705, CP: Optimal, 2705, 0.00 seconds, SA: 2705, 1.47 seconds, CP_SA_gap: 0
instance_m2_n100_016, GMS: 2553, LB: 2553, CP: Optimal, 2553, 0.00 seconds, SA: 2553, 1.44 seconds, CP_SA_gap: 0
instance_m2_n100_017, GMS: 2550, LB: 2550, CP: Optimal, 2550, 0.00 seconds, SA: 2550, 1.50 seconds, CP_SA_gap: 0
instance_m2_n100_018, GMS: 2641, LB: 2641, CP: Optimal, 2641, 0.00 seconds, SA: 2641, 1.47 seconds, CP_SA_gap: 0
instance_m2_n100_019, GMS: 2439, LB: 2439, CP: Optimal, 2439, 0.00 seconds, SA: 2439, 1.43 seconds, CP_SA_gap: 0
instance_m2_n100_020, GMS: 2540, LB: 2540, CP: Optimal, 2540, 0.00 seconds, SA: 2540, 1.45 seconds, CP_SA_gap: 0
