instance_m2_n50_001, GMS: 1325, LB: 1324, CP: Optimal, 1324, 0.00 seconds, SA: 1324, 0.87 seconds, CP_SA_gap: 0
instance_m2_n50_002, GMS: 1069, LB: 1069, CP: Optimal, 1069, 0.00 seconds, SA: 1069, 0.88 seconds, CP_SA_gap: 0
instance_m2_n50_003, GMS: 1211, LB: 1211, CP: Optimal, 1211, 0.00 seconds, SA: 1211, 0.90 seconds, CP_SA_gap: 0
instance_m2_n50_004, GMS: 1249, LB: 1249, CP: Optimal, 1249, 0.00 seconds, SA: 1249, 0.87 seconds, CP_SA_gap: 0
instance_m2_n50_005, GMS: 1204, LB: 1204, CP: Optimal, 1204, 0.00 seconds, SA: 1204, 0.88 seconds, CP_SA_gap: 0
instance_m2_n50_006, GMS: 1134, LB: 1134, CP: Optimal, 1134, 0.00 seconds, SA: 1134, 0.95 seconds, CP_SA_gap: 0
instance_m2_n50_007, GMS: 1453, LB: 1451, CP: Optimal, 1451, 0.00 seconds, SA: 1451, 0.88 seconds, CP_SA_gap: 0
instance_m2_n50_008, GMS: 1172, LB: 1171, CP: Optimal, 1171, 0.00 seconds, SA: 1171, 0.88 seconds, CP_SA_gap: 0
instance_m2_n50_009, GMS: 1234, LB: 1234, CP: Optimal, 1234, 0.00 seconds, SA: 1234, 0.87 seconds, CP_SA_gap: 0
instance_m2_n50_010, GMS: 1153, LB: 1153, CP: Optimal, 1153, 0.00 seconds, SA: 1153, 0.87 seconds, CP_SA_gap: 0
instance_m2_n50_011, GMS: 1468, LB: 1468, CP: Optimal, 1468, 0.00 seconds, SA: 1468, 0.87 seconds, CP_SA_gap: 0
instance_m2_n50_012, GMS: 1383, LB: 1382, CP: Optimal, 1382, 0.00 seconds, SA: 1382, 0.89 seconds, CP_SA_gap: 0
instance_m2_n50_013, GMS: 1436, LB: 1436, CP: Optimal, 1436, 0.00 seconds, SA: 1436, 0.89 seconds, CP_SA_gap: 0
instance_m2_n50_014, GMS: 1230, LB: 1230, CP: Optimal, 1230, 0.00 seconds, SA: 1230, 0.87 seconds, CP_SA_gap: 0
instance_m2_n50_015, GMS: 1190, LB: 1189, CP: Optimal, 1189, 0.00 seconds, SA: 1189, 0.89 seconds, CP_SA_gap: 0
instance_m2_n50_016, GMS: 1154, LB: 1153, CP: Optimal, 1153, 0.00 seconds, SA: 1153, 0.86 seconds, CP_SA_gap: 0
instance_m2_n50_017, GMS: 1102, LB: 1102, CP: Optimal, 1102, 0.00 seconds, SA: 1102, 0.88 seconds, CP_SA_gap: 0
instance_m2_n50_018, GMS: 1251, LB: 1250, CP: Optimal, 1250, 0.00 seconds, SA: 1250, 0.88 seconds, CP_SA_gap: 0
instance_m2_n50_019, GMS: 1247, LB: 1246, CP: Optimal, 1246, 0.00 seconds, SA: 1246, 0.88 seconds, CP_SA_gap: 0
instance_m2_n50_020, GMS: 1210, LB: 1210, CP: Optimal, 1210, 0.00 seconds, SA: 1210, 0.87 seconds, CP_SA_gap: 0
