instance_m2_n10_001, Optimal: 268, SA: 268, Ratio: 
instance_m2_n10_002, Optimal: 326, SA: 326, Ratio: 
instance_m2_n10_003, Optimal: 280, SA: 280, Ratio: 
instance_m2_n10_004, Optimal: 231, SA: 231, Ratio: 
instance_m2_n10_005, Optimal: 222, SA: 223, Ratio: 
instance_m2_n10_006, Optimal: 138, SA: 138, Ratio: 
instance_m2_n10_007, Optimal: 212, SA: 212, Ratio: 
instance_m2_n10_008, Optimal: 223, SA: 223, Ratio: 
instance_m2_n10_009, Optimal: 249, SA: 249, Ratio: 
instance_m2_n10_010, Optimal: 248, SA: 250, Ratio: 
instance_m2_n10_011, Optimal: 268, SA: 268, Ratio: 
instance_m2_n10_012, Optimal: 235, SA: 238, Ratio: 
instance_m2_n10_013, Optimal: 296, SA: 297, Ratio: 
instance_m2_n10_014, Optimal: 224, SA: 224, Ratio: 
instance_m2_n10_015, Optimal: 190, SA: 190, Ratio: 
instance_m2_n10_016, Optimal: 202, SA: 202, Ratio: 
instance_m2_n10_017, Optimal: 271, SA: 273, Ratio: 
instance_m2_n10_018, Optimal: 267, SA: 269, Ratio: 
instance_m2_n10_019, Optimal: 237, SA: 237, Ratio: 
instance_m2_n10_020, Optimal: 273, SA: 273, Ratio: 
